Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R2,R3,R4,R5,R6,R7,Recruits
108,Coho,East Alsek River,Southeast,1,1982,12800,NA,46889,6478,1753,NA,NA,55120
108,Coho,East Alsek River,Southeast,1,1983,12000,NA,7533,7387,3587,NA,NA,18507
108,Coho,East Alsek River,Southeast,1,1984,32000,NA,3381,22034,694,NA,NA,26109
108,Coho,East Alsek River,Southeast,1,1985,52000,NA,25622,6769,441,NA,NA,32832
108,Coho,East Alsek River,Southeast,1,1986,8800,NA,9893,8594,243,NA,NA,18730
108,Coho,East Alsek River,Southeast,1,1987,5200,NA,13001,3761,1728,NA,NA,18490
108,Coho,East Alsek River,Southeast,1,1988,22000,NA,8128,16415,2256,NA,NA,26799
108,Coho,East Alsek River,Southeast,0,1989,8000,NA,22998,21428,NA,NA,NA,44426
108,Coho,East Alsek River,Southeast,0,1990,11200,NA,30021,NA,NA,NA,NA,30021
108,Coho,East Alsek River,Southeast,0,1991,7600,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1992,14800,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1993,38000,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1967,NA,NA,NA,NA,265,NA,NA,265
108,Coho,East Alsek River,Southeast,0,1968,NA,NA,NA,2519,193,NA,NA,2712
108,Coho,East Alsek River,Southeast,1,1969,NA,NA,3530,1829,523,NA,NA,5882
108,Coho,East Alsek River,Southeast,1,1970,NA,NA,2563,4964,206,NA,NA,7733
108,Coho,East Alsek River,Southeast,1,1971,NA,NA,6955,1954,322,NA,NA,9231
108,Coho,East Alsek River,Southeast,1,1972,3000,NA,2737,3054,461,NA,NA,6252
108,Coho,East Alsek River,Southeast,1,1973,600,NA,4279,4377,942,NA,NA,9598
108,Coho,East Alsek River,Southeast,1,1974,6000,NA,6132,8945,403,NA,NA,15480
108,Coho,East Alsek River,Southeast,1,1975,3000,NA,12532,3831,365,NA,NA,16728
108,Coho,East Alsek River,Southeast,1,1976,4400,NA,5367,3472,1203,NA,NA,10042
108,Coho,East Alsek River,Southeast,1,1977,4000,NA,4864,11428,469,NA,NA,16761
108,Coho,East Alsek River,Southeast,1,1978,9000,NA,16011,8135,0,NA,NA,24146
108,Coho,East Alsek River,Southeast,1,1979,3000,NA,7040,7498,0,NA,NA,14538
108,Coho,East Alsek River,Southeast,1,1980,4000,NA,9542,3852,1645,NA,NA,15039
108,Coho,East Alsek River,Southeast,1,1981,14400,NA,34666,21389,747,NA,NA,56802
108,Coho,East Alsek River,Southeast,1,1982,6400,NA,31809,4586,1389,NA,NA,37784
108,Coho,East Alsek River,Southeast,1,1983,6000,NA,5333,5853,2817,NA,NA,14003
108,Coho,East Alsek River,Southeast,1,1984,16000,NA,2679,17304,534,NA,NA,20517
108,Coho,East Alsek River,Southeast,1,1985,26000,NA,20122,5209,329,NA,NA,25660
108,Coho,East Alsek River,Southeast,1,1986,4400,NA,7613,6410,167,NA,NA,14190
108,Coho,East Alsek River,Southeast,1,1987,2600,NA,9697,2583,1417,NA,NA,13697
108,Coho,East Alsek River,Southeast,1,1988,11000,NA,5582,13463,1458,NA,NA,20503
108,Coho,East Alsek River,Southeast,0,1989,4000,NA,18861,13847,NA,NA,NA,32708
108,Coho,East Alsek River,Southeast,0,1990,5600,NA,19400,NA,NA,NA,NA,19400
108,Coho,East Alsek River,Southeast,0,1991,3800,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1992,7400,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1993,19000,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1967,NA,NA,NA,NA,223,NA,NA,223
108,Coho,East Alsek River,Southeast,0,1968,NA,NA,NA,2120,184,NA,NA,2304
108,Coho,East Alsek River,Southeast,1,1969,NA,NA,2971,1750,439,NA,NA,5160
108,Coho,East Alsek River,Southeast,1,1970,NA,NA,2451,4166,164,NA,NA,6781
108,Coho,East Alsek River,Southeast,1,1971,NA,NA,5837,1555,260,NA,NA,7652
108,Coho,East Alsek River,Southeast,1,1972,2000,NA,2178,2469,405,NA,NA,5052
108,Coho,East Alsek River,Southeast,1,1973,400,NA,3459,3845,816,NA,NA,8120
108,Coho,East Alsek River,Southeast,1,1974,4000,NA,5387,7748,361,NA,NA,13496
108,Coho,East Alsek River,Southeast,1,1975,2000,NA,10855,3432,309,NA,NA,14596
108,Coho,East Alsek River,Southeast,1,1976,2933,NA,4808,2940,1001,NA,NA,8749
108,Coho,East Alsek River,Southeast,1,1977,2667,NA,4119,9513,405,NA,NA,14037
108,Coho,East Alsek River,Southeast,1,1978,6000,NA,13328,7026,0,NA,NA,20354
108,Coho,East Alsek River,Southeast,1,1979,2000,NA,6080,6618,0,NA,NA,12698
108,Coho,East Alsek River,Southeast,1,1980,2667,NA,8422,3319,1385,NA,NA,13126
108,Coho,East Alsek River,Southeast,1,1981,9600,NA,29867,18009,644,NA,NA,48520
108,Coho,East Alsek River,Southeast,1,1982,4267,NA,26782,3956,1268,NA,NA,32006
108,Coho,East Alsek River,Southeast,1,1983,4000,NA,4600,5342,2560,NA,NA,12502
108,Coho,East Alsek River,Southeast,1,1984,10667,NA,2445,15728,481,NA,NA,18654
108,Coho,East Alsek River,Southeast,1,1985,17333,NA,18288,4689,291,NA,NA,23268
108,Coho,East Alsek River,Southeast,1,1986,2933,NA,6854,5682,141,NA,NA,12677
108,Coho,East Alsek River,Southeast,1,1987,1733,NA,8595,2190,1314,NA,NA,12099
108,Coho,East Alsek River,Southeast,1,1988,7333,NA,4734,12478,1192,NA,NA,18404
108,Coho,East Alsek River,Southeast,0,1989,2667,NA,17482,11320,NA,NA,NA,28802
108,Coho,East Alsek River,Southeast,0,1990,3733,NA,15860,NA,NA,NA,NA,15860
108,Coho,East Alsek River,Southeast,0,1991,2533,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1992,4933,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1993,12667,NA,NA,NA,NA,NA,NA,NA
109,Coho,Italio River,Southeast,0,1967,NA,NA,NA,NA,322,NA,NA,322
109,Coho,Italio River,Southeast,0,1968,NA,NA,NA,3542,150,NA,NA,3692
109,Coho,Italio River,Southeast,1,1969,NA,NA,4185,1655,498,NA,NA,6338
109,Coho,Italio River,Southeast,1,1970,NA,NA,1956,5480,205,NA,NA,7641
109,Coho,Italio River,Southeast,1,1971,NA,NA,6477,2255,313,NA,NA,9045
109,Coho,Italio River,Southeast,1,1972,4000,NA,2666,3446,807,NA,NA,6919
109,Coho,Italio River,Southeast,1,1973,800,NA,4073,8881,642,NA,NA,13596
109,Coho,Italio River,Southeast,1,1974,3000,NA,10495,7059,533,NA,NA,18087
109,Coho,Italio River,Southeast,1,1975,1450,NA,8342,5861,577,NA,NA,14780
109,Coho,Italio River,Southeast,1,1976,1000,NA,6927,6346,700,NA,NA,13973
109,Coho,Italio River,Southeast,1,1977,8000,NA,7499,7702,490,NA,NA,15691
