stock.id,species,stock,region,sub.region,brood.yr,spawners,recruits,use,recruits.3,recruits.4,recruits.5,age,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2015,135244,301165,1,239094,59379,2692,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2016,136253,161474,1,50556,108576,2342,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1968,27553,70080,1,15542,51411,3128,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1969,20292,41947,1,7610,31769,2568,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1970,34068,65156,1,19972,45184,0,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1971,9937,18352,1,13390,4962,0,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1972,34388,30412,1,9762,20169,481,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1973,29825,66739,1,34048,31582,1108,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1974,34676,45413,1,21322,23773,318,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1975,9936,47754,1,30533,17075,146,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1976,23311,25340,1,11547,13069,723,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1977,23590,100120,1,59795,37921,2403,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1978,29608,37188,1,12968,23163,1057,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1979,22613,41419,1,25567,14822,1030,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1980,41015,58843,1,11930,44306,2607,data,,,,,,,,,,,,
