"","stock","species","broodyear","spawners","recruits","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2","r2.1","r2.2","r2.3","r2.4","r2.5","r3","r3.1","r3.2","r3.3","r3.4","r4","r4.1","r4.2","r4.3","r4.4","r5","r6","r7","r8","stock.id","logRS"
"75","Chignik-Chinook","Chinook",1987,2417,7483.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,1015,NA,NA,NA,NA,2405,3869,3.2,NA,214,1.13013340626814
"76","Chignik-Chinook","Chinook",1988,4635,5195.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,1086,NA,NA,NA,NA,2054,1900,1.2,NA,214,0.114098923348626
"77","Chignik-Chinook","Chinook",1989,3135,8326.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,1007,NA,NA,NA,NA,2475,4677,2.9,NA,214,0.976862063969752
"78","Chignik-Chinook","Chinook",1990,4157,4208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,322,NA,NA,NA,NA,1070,2726,1,NA,214,0.0121938151649084
"79","Chignik-Chinook","Chinook",1991,4338,4497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,890,NA,NA,NA,NA,1266,2196,1,NA,214,0.0359970953838878
"80","Chignik-Chinook","Chinook",1992,3599,3862.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,438,NA,NA,NA,NA,1797,1448,1.1,NA,214,0.0705550478937264
"81","Chignik-Chinook","Chinook",1993,1739,5116.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1098,NA,NA,NA,NA,2224,1791,3.1,NA,214,1.07908219467414
"82","Chignik-Chinook","Chinook",1994,2809,4986.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,955,NA,NA,NA,NA,2040,1940,1.8,NA,214,0.573965873366576
"83","Chignik-Chinook","Chinook",1995,4081,5570.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,NA,NA,NA,1822,NA,NA,NA,NA,2083,1425,1.4,NA,214,0.311124808222531
"84","Chignik-Chinook","Chinook",1996,3278,3156.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,575,NA,NA,NA,NA,1033,1341,1.2,NA,214,-0.0378647079897428
"85","Chignik-Chinook","Chinook",1997,3617,1977.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,784,NA,NA,NA,NA,192,856,1.7,NA,214,-0.603710399624119
"86","Chignik-Chinook","Chinook",1998,2868,9365.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891,NA,NA,NA,NA,1532,NA,NA,NA,NA,4965,1974,3.3,NA,214,1.18339644681538
"87","Chignik-Chinook","Chinook",1999,3521,10764.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958,NA,NA,NA,NA,2055,NA,NA,NA,NA,5133,2615,3.1,NA,214,1.11747148287527
"88","Chignik-Chinook","Chinook",2000,4078,12008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199,NA,NA,NA,NA,2764,NA,NA,NA,NA,6101,1941,3,NA,214,1.0799664221789
"89","Chignik-Chinook","Chinook",2001,2785,3837.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,NA,NA,NA,NA,291,NA,NA,NA,NA,2227,923,1.4,NA,214,0.320547180562614
"90","Chignik-Chinook","Chinook",2002,2821,2749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1020,NA,NA,NA,NA,1058,670,1,NA,214,-0.0258542228367506
"91","Chignik-Chinook","Chinook",2003,6205,2376.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,485,NA,NA,NA,NA,769,755,0.4,NA,214,-0.959768681157121
"92","Chignik-Chinook","Chinook",2004,7633,3162.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,352,NA,NA,NA,NA,866,1770,0.4,NA,214,-0.881149719815995
"93","Chignik-Chinook","Chinook",2005,6037,3953.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,397,NA,NA,NA,NA,2030,1399,0.7,NA,214,-0.423255350478473
"94","Chignik-Chinook","Chinook",2006,3175,3285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,930,NA,NA,NA,NA,1605,606,1,NA,214,0.0340590195919189
