"","stock","broodyear","run","spawners","recruits","r3","r4","r5","r6","r7"
"226","Babine-Mid-Wild",1975,50982,28686,66655.626299206,2174.753097382,44848.323923318,19632.549278506,0,0
"227","Babine-Mid-Wild",1976,19724,8022,8743.552319023,1624.47964237,5172.594149693,1946.47852696,0,0
"228","Babine-Mid-Wild",1977,38904,15573,30813.457066302,4191.856571801,15039.24378108,11582.356713421,0,0
"229","Babine-Mid-Wild",1978,10447,3931,13419.614254053,734.27769196,2369.773462121,10315.563099972,0,0
"230","Babine-Mid-Wild",1979,52099,21765,12226.114166977,230.869824458,6074.56068154,5920.683660979,0,0
"231","Babine-Mid-Wild",1980,28997,11166,38325.258708924,2940.876218488,10934.799590476,24449.58289996,0,0
"232","Babine-Mid-Wild",1981,17720,7178,19269.474007828,921.516748545,12718.85313016,5629.104129123,0,0
"233","Babine-Mid-Wild",1982,14183,4827,15759.821831328,471.56396988,3087.091900956,12201.165960492,0,0
"234","Babine-Mid-Wild",1983,19331,8904,27280.318237617,430.803969921,9413.553053052,17435.961214644,0,0
"235","Babine-Mid-Wild",1984,17777,8065,59269.966259748,5941.280986456,42750.827293356,10577.857979936,0,0
"236","Babine-Mid-Wild",1985,37640,17229,18979.166643732,1217.211492,5687.491900896,12074.463250836,0,0
"237","Babine-Mid-Wild",1986,9147,3874,52409.435003179,790.650119168,6079.816774031,45538.96810998,0,0
"238","Babine-Mid-Wild",1987,27556,15786,29977.567928739,642.719975133,16693.97978109,12640.868172516,0,0
"239","Babine-Mid-Wild",1988,61404,23459,55350.346342054,7502.05210893,10770.709992114,37077.58424101,0,0
"240","Babine-Mid-Wild",1989,17056,7701,35007.032446911,1722.42183537,20498.513113719,12786.097497822,0,0
"241","Babine-Mid-Wild",1990,18797,7395,14150.788590262,1194.902645271,4477.400255163,8478.485689828,0,0
"242","Babine-Mid-Wild",1991,69735,24980,22130.303125716,2195.502247015,9178.264481672,10756.536397029,0,0
"243","Babine-Mid-Wild",1992,25134,8426,108865.507894178,1857.2498285,14547.253054428,92461.00501125,0,0
"244","Babine-Mid-Wild",1993,58771,21962,58457.327074703,157.210548543,29185.801499792,29114.315026368,0,0
"245","Babine-Mid-Wild",1994,19459,7560,5182.798955206,227.193488958,2048.21832468,2907.387141568,0,0
"246","Babine-Mid-Wild",1995,19514,6555,31120.558161828,1629.466648952,24073.1653855,5417.926127376,0,0
"247","Babine-Mid-Wild",1996,25461,7975,151249.031495897,5471.447472932,44774.262394386,101003.321628579,0,0
"248","Babine-Mid-Wild",1997,121874,34660,33031.950147827,186.811478238,8588.867073189,24256.2715964,0,0
"249","Babine-Mid-Wild",1998,32792,16545,122320.752734332,1956.811298232,26518.020048472,93845.921387628,0,0
