Stock,Brood Year,Escapement,0.1,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,3.3,2.4,3.4,4.1,4.2,4.3,4.4,2.5,1.5,,,
Upper Station Early Sockeye,2004,"78,487 ",0 ,191 ,"1,553 ","6,398 ","36,836 ","3,258 ",0 ,"25,750 ","32,372 ",0 ,0 ,"4,211 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2005,"60,349 ",0 ,233 ,281 ,0 ,"5,884 ","3,446 ",0 ,"3,904 ","42,706 ",64 ,0 ,"9,733 ",130 ,0 ,2 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2006,"24,997 ",0 ,0 ,269 ,0 ,"1,815 ","2,367 ",0 ,"4,513 ","24,439 ",5 ,28 ,"14,943 ",620 ,0 ,4 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2007,"31,895 ",0 ,71 ,26 ,136 ,"3,578 ","4,849 ",0 ,"3,112 ","28,723 ",0 ,16 ,"16,845 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2008,"38,800 ",0 ,0 ,978 ,52 ,"10,317 ","2,056 ",0 ,"10,744 ","21,686 ",5 ,0 ,"2,534 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2009,"34,585 ",0 ,108 ,226 ,"2,346 ","2,774 ","2,782 ",0 ,"2,354 ","30,938 ",4 ,0 ,"7,963 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2010,"42,060 ",0 ,0 ,228 ,0 ,"1,784 ","6,735 ",0 ,"2,353 ","45,458 ",89 ,0 ,"5,892 ",76 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2011,"28,759 ",0 ,80 ,132 ,0 ,"1,376 ","7,241 ",0 ,696 ,"27,850 ",26 ,0 ,"17,099 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2012,"25,487 ",0 ,0 ,"1,625 ",438 ,"15,567 ","4,505 ",0 ,"14,540 ","32,314 ",0 ,0 ,"2,681 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2013,"27,712 ",0 ,319 ,"7,144 ","1,016 ","31,462 ","2,862 ",0 ,"8,118 ","28,517 ",0 ,0 ,"4,704 ",99 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
