,stock,broodyear,spawners,recruits,R3,R4,R5,R6,R7
431,Bear,2006,2177,17531,792,2315,14424,0,0
432,Bear,2007,548,15156,579,6213,8364,0,0
433,Bear,2008,6625,11604,1553,3603,6448,0,0
434,Bear,2009,8780,21496,901,2778,17818,0,0
435,Bear,2010,6105,18637,694,7675,10267,0,0
436,Bear,2011,13532,27102,1919,4423,20760,0,0
437,Bear,2012,8600,20664,1106,8943,10615,0,0
438,Bear,2013,7803,21928,2236,4573,15119,0,0
439,Bear,2014,17701,15283,1143,6513,7627,0,0
440,Bear,2015,11403,17877,1628,3285,12963,0,0
441,Bear,2016,18402,11312,821,5584,4907,0,0
442,Bear,2017,13786,5789,1396,2114,2279,0,NA
443,Bear,2018,18721,4580,528,982,3069,NA,NA
456,Bowser,1982,31772,108850,0,35186,66705,6959,0
457,Bowser,1983,11844,91795,0,29257,28333,34205,0
458,Bowser,1984,34187,159565,0,12427,139263,7876,0
459,Bowser,1985,40453,102934,0,61080,32065,9789,0
460,Bowser,1986,39601,75429,0,14064,39854,21512,0
461,Bowser,1987,35398,122148,0,17480,87584,17084,0
462,Bowser,1988,17114,115746,0,38414,69557,7775,0
463,Bowser,1989,45911,87551,0,30507,31657,25387,0
464,Bowser,1990,17474,148164,0,13885,103361,30918,0
465,Bowser,1991,18643,212070,0,45334,125880,40856,0
466,Bowser,1992,41113,232361,0,55211,166341,10810,0
467,Bowser,1993,21504,118771,0,72957,44011,1804,0
468,Bowser,1994,18675,29702,0,19303,7343,3056,0
469,Bowser,1995,27811,19409,0,3221,12443,3746,0
470,Bowser,1996,38189,27013,0,5458,15250,6306,0
471,Bowser,1997,64351,37265,0,6689,25673,4904,0
472,Bowser,1998,31512,36128,0,11260,19965,4903,0
473,Bowser,1999,3340,31097,0,8757,19964,2376,0
474,Bowser,2000,8369,21970,0,8756,9675,3539,0
475,Bowser,2001,9524,21520,0,4243,14409,2868,0
476,Bowser,2002,16190,19780,0,6320,11678,1782,0
477,Bowser,2003,14548,14112,0,5122,7256,1734,0
478,Bowser,2004,13674,12658,0,3183,7059,2417,0
479,Bowser,2005,9337,16093,0,3096,9840,3158,0
